 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
2.320E-03 1.07E-02 3.05E-06 1.37E-02 6.97E-07 2.42E-04 5.92E-13 5.05E-03 3.11E-12 2.11E-06 2.40E-01 4.49E-02 3.142E-01
2.310E-03 1.07E-02 3.09E-06 1.38E-02 7.05E-07 2.39E-04 6.02E-13 5.10E-03 3.16E-12 2.15E-06 2.41E-01 4.54E-02 3.161E-01
2.300E-03 1.08E-02 3.13E-06 1.39E-02 7.14E-07 2.36E-04 6.12E-13 5.14E-03 3.21E-12 2.18E-06 2.42E-01 4.59E-02 3.180E-01
2.250E-03 1.10E-02 3.34E-06 1.42E-02 7.61E-07 2.24E-04 6.67E-13 5.40E-03 3.49E-12 2.27E-06 2.49E-01 4.84E-02 3.282E-01
2.200E-03 1.11E-02 3.58E-06 1.45E-02 8.10E-07 2.12E-04 7.28E-13 5.70E-03 3.77E-12 2.38E-06 2.56E-01 5.09E-02 3.382E-01
2.150E-03 1.14E-02 3.85E-06 1.49E-02 8.61E-07 2.01E-04 7.98E-13 5.99E-03 4.08E-12 2.61E-06 2.62E-01 5.34E-02 3.480E-01
2.120E-03 1.15E-02 4.02E-06 1.51E-02 8.90E-07 1.94E-04 8.44E-13 6.18E-03 4.28E-12 2.72E-06 2.66E-01 5.49E-02 3.541E-01
2.110E-03 1.15E-02 4.08E-06 1.52E-02 9.00E-07 1.93E-04 8.60E-13 6.24E-03 4.35E-12 2.74E-06 2.67E-01 5.54E-02 3.560E-01
2.100E-03 1.16E-02 4.13E-06 1.53E-02 9.10E-07 1.91E-04 8.77E-13 6.31E-03 4.42E-12 2.74E-06 2.69E-01 5.58E-02 3.579E-01
2.080E-03 1.16E-02 4.24E-06 1.54E-02 9.28E-07 1.87E-04 9.11E-13 6.45E-03 4.55E-12 2.72E-06 2.71E-01 5.67E-02 3.613E-01
