 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.340E-03 1.54E-02 1.03E-05 1.41E-02 7.43E-06 8.14E-04 3.01E-11 1.78E-02 5.43E-11 4.78E-05 2.30E-01 9.96E-02 3.776E-01
1.330E-03 1.55E-02 1.06E-05 1.42E-02 7.80E-06 8.18E-04 3.10E-11 1.85E-02 5.71E-11 5.54E-05 2.33E-01 1.01E-01 3.839E-01
1.320E-03 1.56E-02 1.08E-05 1.43E-02 8.19E-06 8.23E-04 3.20E-11 1.91E-02 6.00E-11 6.85E-05 2.37E-01 1.03E-01 3.902E-01
1.310E-03 1.57E-02 1.11E-05 1.44E-02 8.60E-06 8.27E-04 3.30E-11 1.98E-02 6.30E-11 8.99E-05 2.40E-01 1.05E-01 3.963E-01
1.290E-03 1.58E-02 1.15E-05 1.48E-02 9.52E-06 8.37E-04 3.51E-11 2.12E-02 6.95E-11 1.86E-04 2.47E-01 1.09E-01 4.085E-01
1.280E-03 1.58E-02 1.18E-05 1.50E-02 1.00E-05 8.43E-04 3.62E-11 2.21E-02 7.29E-11 2.73E-04 2.51E-01 1.10E-01 4.150E-01
1.270E-03 1.59E-02 1.22E-05 1.51E-02 1.05E-05 8.48E-04 3.74E-11 2.30E-02 7.66E-11 3.30E-04 2.55E-01 1.12E-01 4.215E-01
1.260E-03 1.59E-02 1.25E-05 1.53E-02 1.12E-05 8.54E-04 3.86E-11 2.40E-02 8.02E-11 2.84E-04 2.58E-01 1.13E-01 4.275E-01
1.250E-03 1.60E-02 1.28E-05 1.56E-02 1.18E-05 8.60E-04 3.99E-11 2.49E-02 8.39E-11 2.10E-04 2.62E-01 1.14E-01 4.334E-01
1.220E-03 1.63E-02 1.39E-05 1.77E-02 1.47E-05 8.78E-04 4.40E-11 2.80E-02 9.61E-11 1.64E-04 2.72E-01 1.18E-01 4.530E-01
1.210E-03 1.64E-02 1.43E-05 1.93E-02 1.58E-05 8.84E-04 4.55E-11 2.92E-02 1.01E-10 1.88E-04 2.76E-01 1.18E-01 4.601E-01
1.200E-03 1.64E-02 1.47E-05 2.13E-02 1.69E-05 8.91E-04 4.71E-11 3.04E-02 1.05E-10 2.08E-04 2.79E-01 1.19E-01 4.677E-01
1.190E-03 1.66E-02 1.51E-05 2.35E-02 1.78E-05 8.98E-04 4.87E-11 3.18E-02 1.10E-10 2.08E-04 2.83E-01 1.20E-01 4.758E-01
1.180E-03 1.67E-02 1.55E-05 2.58E-02 1.87E-05 9.05E-04 5.04E-11 3.31E-02 1.15E-10 2.07E-04 2.86E-01 1.20E-01 4.828E-01
1.170E-03 1.68E-02 1.59E-05 2.78E-02 1.93E-05 9.12E-04 5.23E-11 3.45E-02 1.20E-10 2.30E-04 2.89E-01 1.20E-01 4.897E-01
1.160E-03 1.69E-02 1.64E-05 2.97E-02 1.99E-05 9.24E-04 5.44E-11 3.58E-02 1.25E-10 2.96E-04 2.92E-01 1.20E-01 4.960E-01
1.150E-03 1.70E-02 1.68E-05 3.13E-02 2.04E-05 1.30E-03 5.38E-11 3.72E-02 1.30E-10 4.33E-04 2.94E-01 1.21E-01 5.023E-01
