 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
2.800E-04 5.22E+02 4.80E+01 4.16E+00 1.73E+01 5.44E+01 1.04E-04 2.94E+01 4.59E-05 2.04E-01 1.51E+03 2.43E+03 4.614E+03
2.600E-04 5.39E+02 6.35E+01 3.61E+00 2.34E+01 6.10E+01 1.39E-04 3.09E+01 6.21E-05 2.31E-01 1.52E+03 2.46E+03 4.702E+03
2.500E-04 5.53E+02 7.38E+01 3.35E+00 2.75E+01 6.48E+01 1.62E-04 3.17E+01 7.29E-05 2.50E-01 1.53E+03 2.47E+03 4.756E+03
2.200E-04 6.09E+02 1.20E+02 2.70E+00 4.61E+01 7.88E+01 2.68E-04 3.47E+01 1.22E-04 3.33E-01 1.57E+03 2.51E+03 4.972E+03
2.159E-04 6.17E+02 1.28E+02 2.62E+00 4.98E+01 8.11E+01 2.88E-04 3.52E+01 1.32E-04 3.49E-01 1.57E+03 2.52E+03 5.005E+03
2.000E-04 6.57E+02 1.70E+02 2.36E+00 6.77E+01 9.12E+01 3.89E-04 3.73E+01 1.80E-04 4.22E-01 1.59E+03 2.54E+03 5.163E+03
1.662E-04 7.68E+02 3.25E+02 1.89E+00 1.41E+02 1.21E+02 8.03E-04 4.32E+01 3.79E-04 6.93E-01 1.63E+03 2.57E+03 5.601E+03
1.650E-04 7.72E+02 3.33E+02 1.87E+00 1.45E+02 1.23E+02 8.26E-04 4.34E+01 3.90E-04 7.08E-01 1.63E+03 2.57E+03 5.620E+03
1.250E-04 1.04E+03 7.98E+02 1.72E+00 4.09E+02 1.89E+02 2.45E-03 5.51E+01 1.19E-03 1.58E+00 1.68E+03 2.55E+03 6.725E+03
1.235E-04 1.06E+03 8.26E+02 1.71E+00 4.27E+02 1.92E+02 2.57E-03 5.57E+01 1.25E-03 1.63E+00 1.68E+03 2.55E+03 6.792E+03
1.130E-04 1.19E+03 1.06E+03 1.78E+00 5.79E+02 2.21E+02 3.63E-03 6.06E+01 1.78E-03 2.10E+00 1.70E+03 2.52E+03 7.335E+03
1.000E-04 1.41E+03 1.45E+03 2.00E+00 8.64E+02 2.69E+02 5.86E-03 6.79E+01 2.90E-03 2.96E+00 1.73E+03 2.48E+03 8.262E+03
9.500E-05 1.51E+03 1.62E+03 2.02E+00 1.02E+03 2.93E+02 7.15E-03 7.13E+01 3.56E-03 3.40E+00 1.74E+03 2.45E+03 8.706E+03
9.300E-05 1.55E+03 1.69E+03 2.07E+00 1.09E+03 3.03E+02 7.77E-03 7.27E+01 3.88E-03 3.59E+00 1.74E+03 2.44E+03 8.898E+03
9.200E-05 1.57E+03 1.73E+03 2.10E+00 1.12E+03 3.08E+02 8.10E-03 7.35E+01 4.05E-03 3.70E+00 1.75E+03 2.44E+03 8.998E+03
9.100E-05 1.60E+03 1.77E+03 2.14E+00 1.16E+03 3.14E+02 8.45E-03 7.42E+01 4.23E-03 3.81E+00 1.75E+03 2.43E+03 9.099E+03
9.000E-05 1.62E+03 1.80E+03 2.18E+00 1.20E+03 3.19E+02 8.82E-03 7.50E+01 4.42E-03 3.92E+00 1.75E+03 2.43E+03 9.204E+03
8.900E-05 1.64E+03 1.84E+03 2.23E+00 1.25E+03 3.25E+02 9.21E-03 7.58E+01 4.62E-03 4.04E+00 1.75E+03 2.42E+03 9.310E+03
8.800E-05 1.66E+03 1.88E+03 2.24E+00 1.29E+03 3.31E+02 9.63E-03 7.66E+01 4.84E-03 4.16E+00 1.75E+03 2.41E+03 9.420E+03
8.700E-05 1.68E+03 1.92E+03 2.31E+00 1.34E+03 3.37E+02 1.01E-02 7.75E+01 5.06E-03 4.28E+00 1.76E+03 2.41E+03 9.534E+03
8.600E-05 1.71E+03 1.97E+03 2.33E+00 1.39E+03 3.43E+02 1.05E-02 7.83E+01 5.30E-03 4.41E+00 1.76E+03 2.40E+03 9.651E+03
8.500E-05 1.73E+03 2.01E+03 2.39E+00 1.44E+03 3.50E+02 1.10E-02 7.92E+01 5.56E-03 4.55E+00 1.76E+03 2.40E+03 9.771E+03
8.400E-05 1.75E+03 2.05E+03 2.42E+00 1.49E+03 3.56E+02 1.15E-02 8.01E+01 5.83E-03 4.69E+00 1.76E+03 2.39E+03 9.896E+03
8.330E-05 1.77E+03 2.08E+03 2.45E+00 1.53E+03 3.61E+02 1.19E-02 8.07E+01 6.03E-03 4.79E+00 1.76E+03 2.39E+03 9.986E+03
8.200E-05 1.80E+03 2.14E+03 2.49E+00 1.61E+03 3.70E+02 1.27E-02 8.19E+01 6.42E-03 4.98E+00 1.76E+03 2.38E+03 1.016E+04
8.100E-05 1.83E+03 2.19E+03 2.55E+00 1.67E+03 3.77E+02 1.33E-02 8.29E+01 6.74E-03 5.14E+00 1.76E+03 2.37E+03 1.030E+04
8.000E-05 1.86E+03 2.24E+03 2.59E+00 1.74E+03 3.84E+02 1.39E-02 8.39E+01 7.08E-03 5.30E+00 1.77E+03 2.37E+03 1.044E+04
7.900E-05 1.89E+03 2.28E+03 2.65E+00 1.81E+03 3.92E+02 1.46E-02 8.48E+01 7.45E-03 5.47E+00 1.77E+03 2.36E+03 1.059E+04
